--------------------------------------
sw_if_index: 3 | bits: 8 | size: 256 | mode: 4
pkt_count: -1099754752 | admitted times: 1379119 (0.000) | not_monitored: 1221024657 (.382)
raw_count swaps: 1476870 
hll_assigned: 587 (587)
--------------------------------------
< val > 	 < key > 	 Hll_count 	 stream_q 	 raw_count_index 	 raw_count_value 	 reg_count_value 	 max_reg_value 
--------------------------------------
    10.14 	 11.22.34.137    	     10.20 	    248.75 	 0127 	        350 	         10 	 5
   677.82 	 11.12.34.37    	    652.53 	     72.14 	 0388 	       4174 	        232 	 9
   716.36 	 11.12.34.95    	    734.29 	     64.11 	 0506 	     535214 	        240 	 19
   712.99 	 11.12.34.236    	    700.52 	     67.19 	 0494 	       6780 	        242 	 11
   693.60 	 11.12.34.237    	    739.50 	     63.65 	 0430 	       9068 	        238 	 12
    10.13 	 11.22.35.125    	      9.16 	    249.55 	 0253 	        371 	          9 	 6
     6.05 	 11.22.34.145    	      6.07 	    251.45 	 0037 	        346 	          6 	 6
    11.17 	 11.22.34.70    	     11.24 	    248.09 	 0212 	        573 	         11 	 8
    11.17 	 11.22.34.21    	     11.24 	    247.66 	 0186 	        831 	         11 	 9
    11.16 	 11.22.37.45    	     11.24 	    248.41 	 0009 	        569 	         11 	 8
    11.15 	 11.22.35.224    	     11.24 	    248.75 	 0198 	        537 	         11 	 8
    11.17 	 11.22.37.104    	     11.24 	    247.27 	 0276 	        863 	         11 	 9
   666.99 	 11.12.34.60    	    678.39 	     69.39 	 0369 	       4580 	        236 	 9
    10.14 	 11.22.35.232    	     10.20 	    249.14 	 0243 	        342 	         10 	 6
    11.18 	 11.22.34.146    	     11.24 	    247.72 	 0291 	        371 	         11 	 5
   695.45 	 11.12.34.233    	    730.51 	     64.44 	 0441 	       4356 	        238 	 10
    11.17 	 11.22.35.214    	     11.24 	    248.31 	 0058 	       1337 	         11 	 10
    11.17 	 11.22.35.185    	     11.24 	    248.45 	 0120 	        669 	         11 	 8
   716.29 	 11.12.34.92    	    721.11 	     65.28 	 0503 	       5778 	        240 	 11
    11.18 	 11.22.35.8    	     11.24 	    248.04 	 0299 	        947 	         11 	 9
    11.14 	 11.22.34.54    	     11.24 	    248.88 	 0152 	        423 	         11 	 7
    11.17 	 11.22.35.60    	     11.24 	    248.59 	 0236 	        325 	         11 	 5
   666.16 	 11.12.34.74    	    696.75 	     67.56 	 0366 	       8475 	        239 	 12
    11.17 	 11.22.34.81    	     11.24 	    248.08 	 0115 	        403 	         11 	 6
    11.18 	 11.22.37.201    	     11.24 	    247.67 	 0320 	        401 	         11 	 6
   704.45 	 11.12.34.71    	    713.49 	     65.98 	 0470 	       4826 	        246 	 10
   703.60 	 11.12.34.222    	    729.43 	     64.53 	 0463 	       7581 	        243 	 11
   686.66 	 11.12.34.228    	    660.27 	     71.29 	 0406 	       3821 	        231 	 8
    11.15 	 11.22.38.53    	     11.24 	    248.45 	 0252 	        541 	         11 	 7
   688.32 	 11.12.34.58    	    680.49 	     69.17 	 0414 	       4918 	        238 	 9
    10.15 	 11.22.37.114    	     10.20 	    248.26 	 0137 	        452 	         10 	 7
     9.09 	 11.22.36.215    	      9.16 	    251.00 	 0190 	        519 	          9 	 8
     2.00 	 11.22.37.72    	      2.01 	    254.07 	 0047 	        398 	          2 	 7
   693.78 	 11.12.34.10    	    733.99 	     64.13 	 0432 	      10858 	        242 	 11
   705.53 	 11.12.34.26    	    701.09 	     67.14 	 0473 	       6907 	        243 	 11
   695.44 	 11.12.34.98    	    687.43 	     68.48 	 0439 	      21152 	        236 	 14
    10.13 	 11.22.34.12    	      9.16 	    248.98 	 0191 	        383 	          9 	 6
    11.18 	 11.22.38.226    	     11.24 	    247.57 	 0318 	       1447 	         11 	 10
    11.18 	 11.22.37.106    	     11.24 	    247.29 	 0335 	        907 	         11 	 9
    11.16 	 11.22.35.7    	     11.24 	    247.69 	 0177 	       4417 	         11 	 12
    11.16 	 11.22.37.19    	     11.24 	    248.52 	 0181 	        347 	         11 	 6
   716.51 	 11.12.34.196    	    703.13 	     66.95 	 0507 	       5890 	        238 	 9
    11.17 	 11.22.36.76    	     11.24 	    248.00 	 0261 	        543 	         11 	 8
    11.18 	 11.22.34.176    	     10.20 	    248.47 	 0281 	        350 	         10 	 5
   691.71 	 11.12.34.41    	    704.63 	     66.80 	 0423 	       8601 	        243 	 12
    11.16 	 11.22.34.168    	     11.24 	    248.57 	 0102 	        415 	         11 	 7
    11.16 	 11.22.37.65    	     11.24 	    247.84 	 0094 	       4421 	         11 	 12
    11.18 	 11.22.37.26    	     11.24 	    247.45 	 0315 	        487 	         11 	 7
    11.14 	 11.22.37.35    	     11.24 	    249.38 	 0126 	      16657 	         11 	 14
    11.17 	 11.22.35.211    	     11.24 	    248.50 	 0217 	        795 	         11 	 9
    11.16 	 11.22.36.123    	     11.24 	    248.69 	 0219 	        337 	         11 	 5
    11.16 	 11.22.37.170    	     11.24 	    248.55 	 0228 	        489 	         11 	 7
    10.13 	 11.22.38.139    	     10.20 	    249.44 	 0033 	       1310 	         10 	 10
    11.19 	 11.22.39.43    	     11.24 	    247.09 	 0342 	        497 	         11 	 7
    11.15 	 11.22.38.224    	     11.24 	    248.66 	 0104 	       2353 	         11 	 11
   705.26 	 11.12.34.210    	    661.46 	     71.16 	 0471 	      13021 	        239 	 12
    11.17 	 11.22.35.190    	     11.24 	    247.91 	 0006 	        323 	         11 	 5
    11.16 	 11.22.38.239    	     11.24 	    248.23 	 0016 	        447 	         11 	 7
    11.16 	 11.22.39.199    	     11.24 	    248.45 	 0087 	        419 	         11 	 7
   706.14 	 11.12.34.96    	    756.95 	     62.19 	 0472 	       5582 	        244 	 9
    11.17 	 11.22.38.2    	     11.24 	    247.91 	 0273 	        377 	         11 	 5
    11.15 	 11.22.38.249    	     11.24 	    248.66 	 0085 	        317 	         11 	 5
    11.15 	 11.22.38.0    	     11.24 	    248.66 	 0189 	        311 	         11 	 5
    11.14 	 11.22.38.112    	     10.20 	    249.78 	 0238 	        302 	         10 	 5
    11.17 	 11.22.34.171    	     11.24 	    248.35 	 0071 	        443 	         11 	 7
   678.07 	 11.12.34.142    	    674.22 	     69.82 	 0391 	       3706 	        242 	 9
    11.14 	 11.22.34.166    	     11.24 	    248.89 	 0010 	        341 	         11 	 6
    11.14 	 11.22.37.117    	     11.24 	    249.51 	 0210 	        397 	         11 	 7
